标识,文件大小,总数,独一无二数,分散度,读数,写数,写占比,平均读带宽,平均写带宽,读空间范围,小读空间范围,读空间大小,小读空间大小,写空间范围,写空间大小,Pea_RB_WB(h),Pea_RB_R,Pea_WB_W,R_4/16/64/256/1024/max%,W_4/16/64/256/1024/max%,R_RAR_s,R_RAR_b,,随机率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_12,1.75GB,46269497,4567444,9.87%,32148845,14120652,30.52%,504.51KB/s,158.2KB/s,0.01~499.98GB,0.01~499.98GB,78.408GB,14.597GB,0.0~499.99GB,115.781GB,0.728138,-0.556092,-0.138638,1.7/88.8/3.0/0.7/5.8/0.0%,32.7/55.2/6.1/3.3/2.7/0.0%,0.955,0.941,,0.224986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_13,559MB,14729512,8819642,59.88%,154571,14574941,98.95%,0.34KB/s,198.38KB/s,0.0~200.0GB,0.0~200.0GB,0.486GB,0.483GB,0.0~200.0GB,104.215GB,-0.265425,-0.016338,-0.926636,92.2/3.9/3.1/0.8/0.0/0.0%,32.2/14.2/36.8/16.0/0.9/0.0%,0.203,0,,0.145355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_14,476MB,12835277,2130978,16.60%,2615742,10219535,79.62%,27.57KB/s,137.66KB/s,0.0~39.99GB,0.0~39.99GB,19.956GB,6.222GB,0.0~40.0GB,29.006GB,0.156328,0.452051,-0.912275,64.8/23.1/5.4/2.7/3.9/0.0%,69.2/9.5/8.3/9.3/3.7/0.0%,0.49,0.618,,0.502452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_15,408MB,10623010,4609953,43.40%,33668,10589342,99.68%,0.07KB/s,56.06KB/s,0.0~179.89GB,0.0~179.89GB,0.106GB,0.103GB,0.0~179.89GB,27.499GB,None,None,-0.974756,90.7/5.5/3.4/0.5/0.0/0.0%,41.1/33.2/22.6/3.1/0.0/0.0%,0.243,0,,0.132616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_16,562MB,14867655,8986192,60.44%,156489,14711166,98.95%,0.34KB/s,200.08KB/s,0.0~200.0GB,0.0~200.0GB,0.491GB,0.488GB,0.0~200.0GB,104.747GB,-0.272645,-0.009362,-0.9256,92.4/3.9/3.0/0.8/0.0/0.0%,32.2/14.4/36.5/16.0/0.9/0.0%,0.206,0,,0.144927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_17,436MB,11733733,1217259,10.37%,226682,11507051,98.07%,3.66KB/s,24.26KB/s,0.01~48.14GB,0.01~48.14GB,1.097GB,0.186GB,0.0~48.0GB,5.031GB,0.08338,None,-0.575875,64.1/17.4/7.6/4.2/6.6/0.0%,90.5/6.5/2.3/0.6/0.0/0.0%,0.806,0.882,,0.392202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_18,539MB,14139817,8530933,60.33%,147673,13992144,98.96%,0.33KB/s,191.97KB/s,0.0~200.0GB,0.0~200.0GB,0.47GB,0.466GB,0.0~200.0GB,115.223GB,-0.265472,None,-0.931632,92.0/4.1/3.1/0.8/0.0/0.0%,32.2/13.0/37.5/16.6/0.8/0.0%,0.2,0,,0.14001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_19,1.3GB,35895603,1543849,4.30%,1730654,34164949,95.18%,18.07KB/s,79.78KB/s,0.01~44.0GB,0.01~44.0GB,4.123GB,0.836GB,0.0~36.36GB,6.957GB,0.483874,-0.241399,-0.548781,40.4/26.2/19.8/13.6/0.0/0.0%,82.6/15.7/0.4/1.3/0.0/0.0%,0.891,0,,0.355997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_20,551MB,14547147,8780713,60.36%,150435,14396712,98.97%,0.32KB/s,196.44KB/s,0.0~200.0GB,0.0~200.0GB,0.48GB,0.477GB,0.0~200.0GB,102.271GB,-0.276064,None,-0.9265,92.6/3.8/2.9/0.7/0.0/0.0%,32.1/13.8/37.1/16.2/0.8/0.0%,0.193,0,,0.143203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_21,1.19GB,33120813,131011,0.40%,124,33120689,100.00%,0.0KB/s,203.55KB/s,4.13~22.0GB,4.13~22.0GB,0.004GB,0.0GB,0.0~24.0GB,0.603GB,None,None,0.940841,4.0/7.3/81.5/7.3/0.0/0.0%,45.6/44.7/6.6/2.3/0.8/0.0%,0,0,,0.240143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_22,556MB,14638747,8800245,60.12%,155127,14483620,98.94%,0.35KB/s,197.39KB/s,0.0~200.0GB,0.0~200.0GB,0.483GB,0.48GB,0.0~200.0GB,111.556GB,-0.2637,-0.023137,-0.927513,91.7/4.1/3.3/0.9/0.0/0.0%,32.0/14.0/37.0/16.1/0.8/0.0%,0.211,0,,0.143716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_23,1.34GB,36946192,2944389,7.97%,19300,36926892,99.95%,0.23KB/s,87.88KB/s,0.0~76.0GB,0.0~76.0GB,0.424GB,0.067GB,0.0~76.44GB,14.586GB,0.183559,0.325574,-0.709787,46.1/27.6/17.2/5.9/3.1/0.0%,81.6/15.8/1.4/1.2/0.0/0.0%,0.248,0.177,,0.36442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_24,1.34GB,37176282,1454189,3.91%,2235528,34940754,93.99%,22.51KB/s,82.08KB/s,0.01~44.0GB,0.01~44.0GB,4.09GB,0.614GB,0.0~38.26GB,6.501GB,0.558567,-0.239023,-0.666296,40.1/26.7/20.3/12.8/0.0/0.0%,83.0/15.4/0.3/1.3/0.0/0.0%,0.938,0,,0.374122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_25,394MB,10295134,4378573,42.53%,33916,10261218,99.67%,0.07KB/s,56.34KB/s,0.0~180.37GB,0.0~180.37GB,0.106GB,0.102GB,0.0~180.37GB,27.032GB,None,None,-0.974642,90.5/5.8/3.2/0.5/0.0/0.0%,40.1/32.8/23.8/3.4/0.0/0.0%,0.262,0,,0.134484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_26,806MB,21531846,5769222,26.79%,9798729,11733117,54.49%,177.54KB/s,252.43KB/s,0.0~39.99GB,0.0~39.99GB,34.196GB,16.998GB,0.0~39.99GB,34.767GB,0.599424,0.052212,-0.811535,37.6/15.6/12.2/34.6/0.0/0.0%,69.0/10.6/5.0/5.3/10.1/0.0%,0.402,0,,0.412459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_27,548MB,14271134,8838749,61.93%,151515,14119619,98.94%,0.33KB/s,197.76KB/s,0.0~198.71GB,0.0~198.71GB,0.486GB,0.483GB,0.0~198.71GB,127.938GB,-0.279543,-0.005827,-0.927955,92.3/3.9/3.0/0.8/0.0/0.0%,31.9/13.0/37.4/16.8/0.9/0.0%,0.189,0,,0.143685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
