标识,文件大小,总数,独一无二数,分散度,读数,写数,写占比,平均读带宽,平均写带宽,读空间范围,小读空间范围,读空间大小,小读空间大小,写空间范围,写空间大小,Pea_RB_WB(h),Pea_RB_R,Pea_WB_W,R_4/16/64/256/1024/max%,W_4/16/64/256/1024/max%,R_RAR_s,R_RAR_b,,随机率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_251,1.61GB,43506628,1461469,3.36%,8230988,35275640,81.08%,65.55KB/s,82.61KB/s,0.01~44.0GB,0.01~44.0GB,4.407GB,0.401GB,0.0~38.45GB,6.55GB,0.178903,0.357949,-0.738664,37.7/33.5/21.1/7.8/0.0/0.0%,83.1/15.3/0.3/1.3/0.0/0.0%,0.991,0,,0.388979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_252,57MB,1514130,116217,7.68%,1010819,503311,33.24%,7.88KB/s,1.51KB/s,0.0~25.46GB,0.0~25.46GB,0.988GB,0.227GB,0.0~25.46GB,0.489GB,0.75594,0.407786,-0.663778,46.1/5.9/46.1/1.0/0.8/0.0%,81.1/14.6/3.4/0.4/0.5/0.0%,0.905,0.93,,0.171837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_253,39MB,1068448,72520,6.79%,100200,968248,90.62%,0.87KB/s,2.47KB/s,0.01~30.78GB,0.01~30.78GB,0.245GB,0.053GB,0.0~30.0GB,0.282GB,0.085075,0.53333,-0.445396,71.7/16.3/6.5/2.8/2.7/0.0%,81.8/13.3/4.6/0.2/0.1/0.0%,0.881,0.893,,0.373762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_254,635MB,16296393,9843210,60.40%,154640,16141753,99.05%,0.34KB/s,200.08KB/s,0.0~200.0GB,0.0~200.0GB,0.488GB,0.484GB,0.0~200.0GB,112.1GB,-0.289992,-0.016329,-0.927385,91.9/4.2/3.1/0.7/0.0/0.0%,35.0/15.7/34.0/14.6/0.7/0.0%,0.206,0,,0.128224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_255,83MB,2208675,236002,10.69%,95,2208580,100.00%,0.0KB/s,7.91KB/s,0.0~32.0GB,0.0~32.0GB,0.002GB,0.0GB,0.0~38.0GB,3.971GB,None,None,-0.967472,45.3/25.3/24.2/3.2/2.1/0.0%,71.4/15.5/11.6/1.4/0.0/0.0%,0,0,,0.280462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_256,3.62GB,97851060,7125508,7.28%,96,97850964,100.00%,0.0KB/s,474.45KB/s,0.0~16.22GB,4.16~16.22GB,0.006GB,0.001GB,0.0~100.0GB,85.995GB,None,None,-0.998461,21.9/41.7/18.8/10.4/7.3/0.0%,75.7/19.3/3.1/0.5/1.3/0.0%,0,0,,0.171256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_257,646MB,17099651,859471,5.03%,38542,17061109,99.77%,1.1KB/s,47.08KB/s,0.0~100.0GB,0.0~100.0GB,2.664GB,0.15GB,0.0~100.0GB,15.228GB,None,0.078404,0.704956,52.1/18.5/10.0/6.6/12.7/0.0%,77.5/18.2/3.7/0.4/0.2/0.0%,0.022,0.026,,0.114121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_258,91MB,2416127,170936,7.07%,161053,2255074,93.33%,1.4KB/s,5.91KB/s,0.04~38.03GB,0.04~38.03GB,0.06GB,0.018GB,0.0~20.0GB,0.663GB,0.544303,-0.017039,-0.528792,40.4/28.6/19.9/11.1/0.0/0.0%,78.8/12.9/8.2/0.0/0.0/0.0%,0.976,0,,0.221426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_259,842MB,22091561,714054,3.23%,112929,21978632,99.49%,0.39KB/s,53.2KB/s,0.0~96.11GB,0.0~96.11GB,0.254GB,0.169GB,0.0~88.0GB,4.017GB,0.5746,None,-0.836998,62.8/27.8/8.1/1.3/0.0/0.0%,90.1/6.7/1.9/1.3/0.0/0.0%,0.708,0,,0.451896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_260,118MB,3124835,475424,15.21%,4373,3120462,99.86%,0.02KB/s,18.95KB/s,0.0~38.0GB,0.0~38.0GB,0.027GB,0.014GB,0.0~40.0GB,19.681GB,0.220969,None,0.106481,60.0/26.6/10.1/3.3/0.0/0.0%,71.1/11.2/13.2/3.6/0.9/0.0%,0.356,0,,0.383846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_261,307MB,7832702,3210380,40.99%,2224425,5608277,71.60%,309.79KB/s,357.04KB/s,0.0~100.0GB,0.0~100.0GB,93.418GB,0.135GB,0.0~100.0GB,93.642GB,0.769961,-0.041341,-0.809461,1.4/0.4/9.5/22.4/66.4/0.0%,38.8/8.6/12.4/8.1/32.1/0.0%,0.379,0.867,,0.583397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_262,2.94GB,78873687,2514868,3.19%,397574,78476113,99.50%,4.55KB/s,142.19KB/s,0.01~59.54GB,0.01~59.51GB,1.371GB,0.196GB,0.0~59.55GB,10.379GB,0.123156,0.557508,-0.291082,43.3/24.7/12.9/19.2/0.0/0.0%,91.1/7.8/0.9/0.2/0.0/0.0%,0.886,0,,0.440903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_263,1.11GB,29939903,2583912,8.63%,1702,29938201,99.99%,0.02KB/s,117.85KB/s,0.0~36.03GB,0.0~36.03GB,0.04GB,0.007GB,0.0~86.69GB,21.869GB,None,None,0.383826,29.3/26.6/41.0/1.6/1.5/0.0%,72.7/15.3/9.8/2.3/0.0/0.0%,0,0,,0.504742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_264,727MB,19053076,1799035,9.44%,434037,18619039,97.72%,2.46KB/s,51.73KB/s,0.0~58.14GB,0.0~58.14GB,2.852GB,0.709GB,0.0~58.16GB,10.131GB,0.603135,0.031474,-0.879163,60.6/21.3/12.7/5.3/0.0/0.0%,82.5/12.5/3.6/1.4/0.0/0.0%,0.627,0,,0.430631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_265,452MB,11970526,819556,6.85%,74806,11895720,99.38%,1.4KB/s,78.92KB/s,0.0~38.32GB,0.0~38.32GB,0.749GB,0.167GB,0.0~40.0GB,15.657GB,0.089194,0.954221,-0.589204,52.0/21.1/12.7/7.2/7.1/0.0%,65.8/13.6/10.8/9.5/0.3/0.0%,0.469,0.762,,0.363961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_266,293MB,7691837,852708,11.09%,9534,7682303,99.88%,0.03KB/s,18.52KB/s,0.0~54.0GB,0.0~54.0GB,0.069GB,0.038GB,0.0~56.22GB,3.634GB,0.228916,None,-0.731242,84.9/7.1/6.3/1.7/0.0/0.0%,85.3/9.9/4.3/0.5/0.0/0.0%,0.018,0,,0.472385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_267,61MB,1645256,67724,4.12%,63305,1581951,96.15%,0.54KB/s,3.81KB/s,0.0~38.03GB,0.0~38.03GB,0.053GB,0.018GB,0.0~20.0GB,0.26GB,0.577139,0.064102,-0.501406,37.7/30.6/21.8/9.8/0.0/0.0%,78.5/14.9/6.5/0.1/0.0/0.0%,0.94,0,,0.086641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_268,13MB,363248,22516,6.20%,10255,352993,97.18%,0.18KB/s,1.88KB/s,0.01~14.17GB,0.01~14.17GB,0.164GB,0.005GB,0.01~13.46GB,0.219GB,0.954104,0.048956,-0.499481,23.8/18.9/45.7/3.5/8.1/0.0%,77.1/8.2/2.5/12.0/0.2/0.0%,0.824,0.484,,0.185617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_269,399MB,10577935,2625943,24.82%,304906,10273029,97.12%,2.29KB/s,23.52KB/s,0.04~68.8GB,0.04~68.8GB,5.458GB,0.71GB,0.04~68.99GB,17.195GB,0.981142,0.002988,-0.289562,65.6/6.2/28.2/0.0/0.0/0.0%,64.5/32.4/3.1/0.0/0.0/0.0%,0.249,0,,0.216605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_270,46MB,1251273,45226,3.61%,24114,1227159,98.07%,0.67KB/s,5.6KB/s,0.03~15.23GB,0.03~15.18GB,0.422GB,0.019GB,0.0~15.24GB,0.505GB,0.609412,0.01228,0.056004,24.2/15.3/35.4/8.2/17.0/0.0%,77.9/9.6/10.0/2.2/0.4/0.0%,0.692,0.744,,0.272497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_271,254MB,6648447,559519,8.42%,3781713,2866734,43.12%,26.8KB/s,22.93KB/s,0.0~39.99GB,0.0~39.94GB,3.37GB,0.974GB,0.0~39.99GB,4.659GB,0.89688,-0.134592,0.431903,24.6/59.8/14.2/1.0/0.4/0.0%,63.9/20.7/10.1/2.2/3.0/0.0%,0.973,0.926,,0.327262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_272,351MB,9249571,501344,5.42%,3054033,6195538,66.98%,33.6KB/s,53.66KB/s,0.0~39.99GB,0.0~39.99GB,16.473GB,0.682GB,0.0~39.99GB,16.407GB,0.415291,0.583248,-0.950231,54.8/24.4/13.3/4.3/3.1/0.0%,69.8/14.2/6.5/8.1/1.5/0.0%,0.951,0.642,,0.421147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_273,451MB,11839437,1223837,10.34%,237564,11601873,97.99%,3.71KB/s,24.77KB/s,0.01~48.14GB,0.01~48.14GB,1.068GB,0.195GB,0.0~48.0GB,5.053GB,0.091066,None,-0.604084,64.4/17.2/7.7/4.4/6.3/0.0%,90.2/6.8/2.4/0.6/0.0/0.0%,0.807,0.888,,0.392503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_274,121MB,3195488,264462,8.28%,4829,3190659,99.85%,0.05KB/s,6.83KB/s,0.0~28.0GB,0.0~28.0GB,0.122GB,0.023GB,0.0~28.13GB,1.19GB,0.291948,None,-0.820028,62.4/22.0/9.1/3.6/2.9/0.0%,86.9/10.5/1.8/0.8/0.0/0.0%,0,0,,0.473644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_275,552MB,13806345,6228930,45.12%,4543423,9262922,67.09%,612.63KB/s,1105.4KB/s,0.0~200.0GB,0.0~199.92GB,176.255GB,0.459GB,0.0~200.0GB,194.474GB,0.692965,0.93348,-0.698968,2.8/1.2/10.6/15.4/70.1/0.0%,13.3/5.2/7.1/12.3/62.1/0.0%,0.571,0.88,,0.786235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_276,1.91GB,51618793,4523124,8.76%,314649,51304144,99.39%,1.88KB/s,171.11KB/s,0.0~38.66GB,0.0~38.66GB,1.901GB,0.915GB,0.0~40.0GB,26.188GB,0.14298,0.443423,0.468931,87.5/6.2/2.9/1.5/1.9/0.0%,75.7/17.8/5.4/0.8/0.3/0.0%,0.268,0.656,,0.268253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_277,22.52GB,593993603,267042,0.04%,22487,593971116,100.00%,1.28KB/s,4819.15KB/s,0.16~39.98GB,0.16~39.98GB,0.387GB,0.023GB,0.15~25.78GB,0.879GB,None,,,21.6/4.9/13.0/11.6/48.9/0.0%,3.6/79.1/14.2/3.1/0.0/0.0%,0.12,0.913,,0.077242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_278,319MB,8402066,1247682,14.85%,13912,8388154,99.83%,0.19KB/s,41.76KB/s,0.0~70.0GB,0.0~70.0GB,0.354GB,0.05GB,0.0~70.14GB,31.963GB,0.103132,None,0.554288,50.5/27.1/11.5/6.2/4.7/0.0%,68.2/19.8/7.0/5.0/0.0/0.0%,0.269,0.232,,0.513227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_279,409MB,10824419,773624,7.15%,138718,10685701,98.72%,1.71KB/s,33.26KB/s,0.0~39.21GB,0.0~39.21GB,0.987GB,0.211GB,0.0~40.0GB,8.104GB,None,0.021547,-0.741154,38.1/23.2/21.8/16.9/0.0/0.0%,80.3/12.7/5.9/0.9/0.3/0.0%,0.643,0,,0.394937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_280,124MB,3288408,332755,10.12%,286544,3001864,91.29%,2.65KB/s,40.66KB/s,0.0~72.0GB,0.0~72.0GB,1.669GB,0.55GB,0.0~72.13GB,12.575GB,0.425837,0.721527,-0.211553,68.4/17.6/7.6/3.7/2.8/0.0%,62.3/20.2/10.2/1.9/5.4/0.0%,0.575,0.745,,0.356918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_281,130MB,3462384,195028,5.63%,157,3462227,100.00%,0.0KB/s,10.93KB/s,0.0~18.17GB,0.0~18.17GB,0.003GB,0.001GB,0.0~40.32GB,1.647GB,None,None,-0.886479,42.7/43.9/5.1/8.3/0.0/0.0%,59.9/33.4/6.6/0.1/0.0/0.0%,0,0,,0.36409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_282,606MB,15968017,952334,5.96%,5962869,10005148,62.66%,52.97KB/s,91.4KB/s,0.0~98.26GB,0.0~98.26GB,5.301GB,2.301GB,0.0~98.26GB,7.525GB,0.418881,0.67512,0.476608,71.9/15.2/6.5/3.6/2.8/0.0%,69.3/16.1/6.7/5.6/2.3/0.0%,0.911,0.958,,0.287543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_283,1005MB,26375480,4072932,15.44%,2479670,23895810,90.60%,9.85KB/s,75.1KB/s,0.0~60.0GB,0.0~60.0GB,10.148GB,5.1GB,0.0~60.0GB,30.445GB,0.561041,0.214737,-0.761024,71.6/17.4/7.9/3.1/0.0/0.0%,81.8/13.6/2.6/1.9/0.2/0.0%,0.539,0,,0.395068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_284,51MB,1333985,107964,8.09%,1036073,297912,22.33%,8.1KB/s,1.13KB/s,0.0~14.84GB,0.0~14.84GB,0.94GB,0.243GB,0.16~14.84GB,0.447GB,0.868478,0.477308,-0.559419,47.0/5.0/46.2/0.6/1.1/0.0%,83.8/10.2/4.5/0.5/1.1/0.0%,0.897,0.95,,0.162214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_285,10MB,282141,39632,14.05%,1868,280273,99.34%,0.05KB/s,0.64KB/s,0.0~18.17GB,0.0~18.17GB,0.116GB,0.007GB,0.0~18.17GB,0.343GB,None,None,-0.195271,47.8/22.6/10.1/9.2/10.3/0.0%,77.8/20.7/1.2/0.2/0.1/0.0%,0.074,0.019,,0.062646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_286,197MB,5191194,207757,4.00%,1,5191193,100.00%,0.0KB/s,13.97KB/s,18.0~18.0GB,18.0~18.0GB,0.0GB,0.0GB,0.0~26.26GB,1.008GB,None,None,-0.760835,100.0/0.0/0.0/0.0/0.0/0.0%,83.8/10.7/4.4/1.0/0.0/0.0%,0,0,,0.582097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_287,416MB,11085121,305026,2.75%,12275,11072846,99.89%,0.02KB/s,47.32KB/s,2.0~30.49GB,2.0~28.8GB,0.049GB,0.047GB,0.0~38.32GB,2.449GB,0.037922,None,0.6062,99.5/0.2/0.2/0.1/0.0/0.0%,64.6/27.2/6.5/1.3/0.4/0.0%,0,0,,0.231879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_288,49MB,1272441,334137,26.26%,350539,921902,72.45%,12.26KB/s,17.73KB/s,0.01~96.13GB,0.01~96.13GB,2.731GB,0.247GB,0.0~96.13GB,38.914GB,None,0.787529,-0.521514,44.1/16.2/12.4/12.0/15.3/0.0%,53.9/21.4/11.5/5.2/7.9/0.0%,0.786,0.905,,0.220938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_289,1.03GB,27569263,1558974,5.65%,557731,27011532,97.98%,0.99KB/s,63.05KB/s,0.0~98.25GB,0.0~98.25GB,2.282GB,2.135GB,0.0~98.1GB,5.628GB,0.976747,0.999322,0.05779,95.4/3.3/1.0/0.3/0.0/0.0%,89.7/7.4/1.7/1.2/0.0/0.0%,0.036,0,,0.437518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_290,305MB,7998329,431897,5.40%,169063,7829266,97.89%,3.33KB/s,18.08KB/s,0.01~38.33GB,0.01~38.33GB,1.225GB,0.173GB,0.0~38.22GB,2.062GB,0.061614,None,-0.679332,54.8/22.0/9.9/4.9/8.4/0.0%,87.1/9.2/2.8/0.9/0.0/0.0%,0.765,0.852,,0.564888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_291,31MB,831579,49225,5.92%,690,830889,99.92%,0.0KB/s,2.36KB/s,2.98~24.04GB,2.98~24.04GB,0.004GB,0.003GB,0.0~24.53GB,0.522GB,None,None,-0.589076,86.4/10.4/3.0/0.1/0.0/0.0%,74.5/20.5/4.1/0.8/0.1/0.0%,0.003,0,,0.106362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_292,51MB,1364442,50632,3.71%,802,1363640,99.94%,0.0KB/s,3.17KB/s,0.0~30.04GB,0.0~30.04GB,0.012GB,0.004GB,0.0~32.0GB,0.221GB,None,None,0.121353,57.1/23.3/14.6/4.6/0.4/0.0%,63.7/34.5/1.6/0.1/0.0/0.0%,0.009,0,,0.198497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_293,3.21GB,86034709,7584690,8.82%,432184,85602525,99.50%,5.85KB/s,507.17KB/s,0.0~119.92GB,0.0~119.48GB,7.891GB,1.109GB,0.0~120.0GB,91.879GB,0.371998,0.095334,0.246897,56.9/22.1/11.5/4.8/4.7/0.0%,74.3/9.9/12.1/2.6/1.0/0.0%,0.422,0.385,,0.450117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_294,236MB,6244842,519871,8.32%,82011,6162831,98.69%,1.27KB/s,19.3KB/s,0.0~44.41GB,0.0~44.41GB,0.868GB,0.126GB,0.0~44.35GB,7.726GB,0.787426,0.768903,-0.824199,60.9/17.1/11.1/5.1/5.7/0.0%,78.0/13.5/7.1/1.3/0.0/0.0%,0.628,0.711,,0.577363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_295,1.66GB,44708183,1671740,3.74%,9048971,35659212,79.76%,69.26KB/s,84.27KB/s,0.01~44.0GB,0.01~44.0GB,5.048GB,0.426GB,0.0~38.53GB,7.478GB,0.255777,0.249091,-0.735565,38.6/33.4/20.8/7.2/0.0/0.0%,83.2/15.2/0.2/1.4/0.0/0.0%,0.991,0,,0.397616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_296,556MB,14622717,342198,2.34%,1,14622716,100.00%,0.0KB/s,60.67KB/s,16.0~16.0GB,16.0~16.0GB,0.0GB,0.0GB,0.0~27.07GB,1.803GB,None,None,0.69948,100.0/0.0/0.0/0.0/0.0/0.0%,84.9/9.6/2.5/2.4/0.6/0.0%,0,0,,0.305323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_297,0MB,11517,4260,36.99%,0,11517,100.00%,0.0KB/s,0.03KB/s,0.0~0.0GB,0.0~0.0GB,0.0GB,0.0GB,0.0~30.14GB,0.052GB,None,None,None,0.0/0.0/0.0/0.0/0.0/0.0%,79.9/13.8/5.3/0.7/0.3/0.0%,0,0,,0.346271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_298,93MB,2469749,162252,6.57%,171015,2298734,93.08%,1.42KB/s,5.98KB/s,0.04~38.03GB,0.04~38.03GB,0.06GB,0.018GB,0.0~20.0GB,0.623GB,0.606655,0.005387,-0.450874,40.3/30.2/19.0/10.5/0.0/0.0%,79.2/12.5/8.2/0.0/0.0/0.0%,0.978,0,,0.226899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_299,58MB,1564091,90800,5.81%,30304,1533787,98.06%,0.31KB/s,4.11KB/s,0.0~20.24GB,0.0~20.24GB,0.293GB,0.068GB,0.0~20.25GB,0.426GB,0.121358,0.666784,0.334301,66.3/17.8/8.6/4.2/3.1/0.0%,64.4/31.1/4.1/0.2/0.0/0.0%,0.482,0.588,,0.207313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_300,0MB,18584,6381,34.34%,30,18554,99.84%,0.0KB/s,0.06KB/s,0.59~2.91GB,0.59~2.91GB,0.003GB,0.0GB,0.0~30.0GB,0.082GB,None,None,None,0.0/13.3/0.0/86.7/0.0/0.0%,78.4/14.7/5.7/0.9/0.3/0.0%,0,0,,0.362355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_301,36MB,973618,38666,3.97%,7265,966353,99.25%,0.26KB/s,5.0KB/s,0.0~20.3GB,0.0~20.24GB,0.342GB,0.022GB,0.0~20.3GB,1.422GB,None,0.025907,-0.217127,24.5/19.1/20.5/13.1/22.8/0.0%,76.4/8.6/13.8/0.6/0.6/0.0%,0.154,0.492,,0.196103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_302,59MB,1578336,76443,4.84%,178283,1400053,88.70%,1.47KB/s,7.93KB/s,0.0~18.7GB,0.0~18.7GB,0.212GB,0.024GB,0.0~18.73GB,2.505GB,None,0.501582,-0.823061,54.0/28.2/7.9/8.5/1.3/0.0%,70.8/13.3/13.1/1.2/1.5/0.0%,0.969,0.919,,0.268644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_303,635MB,16280098,9890244,60.75%,158194,16121904,99.03%,0.35KB/s,205.48KB/s,0.0~200.0GB,0.0~200.0GB,0.502GB,0.499GB,0.0~200.0GB,110.533GB,-0.276646,None,-0.921733,92.3/3.9/3.0/0.8/0.0/0.0%,34.7/15.5/34.1/14.8/0.9/0.0%,0.196,0,,0.13296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_304,113MB,2988966,184958,6.19%,1080131,1908835,63.86%,7.54KB/s,7.45KB/s,0.0~20.49GB,0.0~20.49GB,1.238GB,0.368GB,0.0~20.49GB,1.541GB,0.309177,0.234918,-0.917941,31.6/28.7/38.3/1.2/0.1/0.0%,80.0/5.3/11.4/2.9/0.4/0.0%,0.924,0.636,,0.390494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_305,161MB,4262156,461950,10.84%,120038,4142118,97.18%,1.12KB/s,16.93KB/s,0.0~174.57GB,0.0~174.57GB,0.329GB,0.009GB,0.0~199.53GB,3.992GB,None,0.562722,-0.782468,56.2/23.5/9.3/9.1/1.9/0.0%,71.6/18.3/9.0/0.6/0.5/0.0%,0.981,0.63,,0.283351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_306,23MB,611812,50867,8.31%,217,611595,99.96%,0.0KB/s,1.91KB/s,1.26~1.29GB,1.26~1.29GB,0.004GB,0.001GB,0.0~48.5GB,0.271GB,None,None,-0.463279,71.9/17.5/6.9/1.4/2.3/0.0%,63.3/25.9/10.7/0.1/0.0/0.0%,0,0,,0.176837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_307,5MB,138914,36467,26.25%,30815,108099,77.82%,0.28KB/s,0.64KB/s,0.0~15.07GB,0.0~15.06GB,0.514GB,0.083GB,0.03~15.06GB,0.238GB,0.923142,0.371927,-0.600105,33.0/20.4/44.3/1.5/0.8/0.0%,75.5/16.0/4.2/1.2/3.0/0.0%,0.227,0.068,,0.354579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_308,81MB,2176555,121493,5.58%,711206,1465349,67.32%,8.26KB/s,3.93KB/s,0.0~20.5GB,0.0~20.5GB,0.413GB,0.106GB,0.0~20.5GB,0.806GB,0.331119,0.681179,-0.485977,54.9/23.4/12.3/6.2/3.2/0.0%,69.7/25.0/5.1/0.1/0.1/0.0%,0.967,0.973,,0.203671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_309,101MB,2710198,181968,6.71%,510447,2199751,81.17%,5.16KB/s,6.15KB/s,0.01~20.34GB,0.01~20.34GB,0.326GB,0.079GB,0.0~20.2GB,0.704GB,0.28644,0.597232,-0.384071,49.0/27.9/15.1/5.8/2.2/0.0%,75.3/16.2/8.4/0.1/0.0/0.0%,0.967,0.955,,0.229277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID_310,396MB,10475224,778142,7.43%,100468,10374756,99.04%,1.14KB/s,30.49KB/s,0.01~36.0GB,0.01~36.0GB,0.686GB,0.139GB,0.0~36.81GB,13.41GB,0.276408,-0.009194,-0.63328,41.5/23.7/19.5/15.2/0.0/0.0%,80.7/12.8/5.6/0.6/0.3/0.0%,0.686,0,,0.403046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
