标识,文件大小,总数,独一无二数,分散度,读数,写数,写占比,平均读带宽,平均写带宽,读空间范围,小读空间范围,读空间大小,小读空间大小,写空间范围,写空间大小,Pea_RB_WB(h),Pea_RB_R(暂时出错),Pea_WB_W(暂时出错),Pea_RB_R,Pea_WB_W,R_4/16/64/256/1024/max%,W_4/16/64/256/1024/max%,R_RAR_s,R_RAR_b,,随机率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_4818,419MB,15258533,911987,5.98%,5950226,9308307,61.00%,315.39KB/s,177.35KB/s,0.0~26.0GB,,2.976GB,,0.0~26.0GB,3.345GB,,0.035183,0.598167,-0.192709,0.831683,,,,,,0.538046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_4821,14MB,521737,74028,14.19%,92595,429142,82.25%,1.29KB/s,4.54KB/s,0.0~26.0GB,,0.066GB,,0.0~26.0GB,0.283GB,,None,None,0.141735,-0.772427,,,,,,0.117553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_4828,1.09GB,40619346,1930508,4.75%,13631934,26987412,66.44%,325.14KB/s,1500.8KB/s,0.0~52.0GB,,5.678GB,,0.0~8.89GB,6.021GB,,0.811485,0.067516,0.875537,0.738805,,,,,,0.614991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_4830,112MB,4077613,307913,7.55%,3173,4074440,99.92%,0.1KB/s,113.33KB/s,0.0~27.5GB,,0.011GB,,0.0~27.55GB,1.76GB,,None,None,-0.314147,0.916009,,,,,,0.315472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_4833,272MB,9294711,1104845,11.89%,5844,9288867,99.94%,0.11KB/s,999.88KB/s,14.25~494.0GB,,0.063GB,,0.0~990.13GB,208.916GB,,None,0.074444,None,-0.927806,,,,,,0.345412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_4836,57MB,2099798,135738,6.46%,373869,1725929,82.20%,14.45KB/s,19.29KB/s,0.0~26.0GB,,1.034GB,,0.0~26.0GB,0.976GB,,None,None,0.82086,-0.639475,,,,,,0.491349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_4838,515MB,18749994,1814654,9.68%,5880559,12869435,68.64%,112.44KB/s,241.77KB/s,0.0~52.0GB,,5.251GB,,0.0~11.74GB,5.966GB,,0.46084,0.24177,0.772453,0.354126,,,,,,0.567562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_4845,109MB,3963038,179751,4.54%,29345,3933693,99.26%,0.99KB/s,681.72KB/s,0.0~52.0GB,,0.363GB,,0.0~25.96GB,1.399GB,,None,0.957914,-0.098577,0.864254,,,,,,0.428131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_4851,142MB,5120705,202927,3.96%,814779,4305926,84.09%,86.22KB/s,101.43KB/s,0.0~45.66GB,,0.622GB,,0.0~45.66GB,1.294GB,,None,-0.468664,0.148015,-0.416982,,,,,,0.692651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_4858,112MB,4067376,432204,10.63%,431717,3635659,89.39%,44.23KB/s,50.27KB/s,0.08~51.99GB,,0.028GB,,0.0~51.99GB,2.84GB,,None,None,0.547023,-0.663164,,,,,,0.459089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_4862,43MB,1669562,88003,5.27%,74944,1594618,95.51%,2.7KB/s,11.77KB/s,0.0~26.0GB,,0.092GB,,0.0~26.0GB,0.404GB,,None,0.078229,-0.465189,0.149464,,,,,,0.202638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_4870,127MB,4557137,821926,18.04%,395171,4161966,91.33%,2.75KB/s,101.37KB/s,0.0~192.16GB,,1.2GB,,0.0~192.14GB,15.97GB,,None,-0.098477,-0.436241,-0.199549,,,,,,0.36492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_4871,122MB,4367739,107849,2.47%,2643561,1724178,39.48%,97.63KB/s,20.46KB/s,0.0~26.0GB,,0.552GB,,0.0~26.0GB,0.634GB,,0.246029,0.807782,-0.187868,-0.45562,,,,,,0.568987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_4879,29MB,1094678,211697,19.34%,121092,973586,88.94%,4.08KB/s,12.31KB/s,0.0~51.95GB,,0.417GB,,0.0~51.94GB,1.083GB,,0.441147,None,-0.092839,-0.936748,,,,,,0.372863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_4882,44MB,1648263,75496,4.58%,34130,1614133,97.93%,3.31KB/s,54.34KB/s,0.0~26.0GB,,0.162GB,,0.0~26.0GB,0.567GB,,None,0.755231,0.023733,0.610961,,,,,,0.307196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_4883,351MB,12231524,1272822,10.41%,4156934,8074590,66.01%,131.17KB/s,335.14KB/s,0.04~499.5GB,,13.152GB,,0.0~499.5GB,20.321GB,,0.952364,0.100005,0.849153,0.586085,,,,,,0.227101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_4892,116MB,4104124,152560,3.72%,287582,3816542,92.99%,4.37KB/s,1477.22KB/s,0.0~26.0GB,,0.194GB,,0.0~26.0GB,0.652GB,,None,0.932821,-0.612979,0.931394,,,,,,0.640215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_4900,68MB,2475086,270580,10.93%,123598,2351488,95.01%,12.53KB/s,28.07KB/s,0.0~30.25GB,,0.041GB,,0.0~30.34GB,1.702GB,,None,None,0.597509,0.21861,,,,,,0.532234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_4908,4MB,161186,13994,8.68%,1,161185,100.00%,0.0KB/s,1.13KB/s,0.21~0.21GB,,0.0GB,,0.0~3.0GB,0.055GB,,None,None,None,0.913803,,,,,,5.60E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_4915,14MB,512421,45959,8.97%,4271,508150,99.17%,0.27KB/s,3.86KB/s,3.0~19.03GB,,0.036GB,,0.0~19.03GB,0.25GB,,None,None,-0.066848,-0.506597,,,,,,0.105607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_4919,10MB,383176,99252,25.90%,30,383146,99.99%,0.0KB/s,9.87KB/s,36.0~40.0GB,,0.0GB,,0.0~244.03GB,3.522GB,,None,None,None,-0.905174,,,,,,0.070529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_4927,2.48GB,89539381,1786328,2.00%,553003,88986378,99.38%,20.96KB/s,5573.91KB/s,0.0~51.88GB,,2.748GB,,0.0~52.0GB,19.467GB,,None,-0.152083,-0.662417,-0.053324,,,,,,0.612149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_4929,83MB,2872717,987730,34.38%,325500,2547217,88.67%,202.51KB/s,135.25KB/s,0.0~100.0GB,,100.0GB,,0.0~96.88GB,7.872GB,,0.148201,0.213264,0.145387,0.32847,,,,,,0.355254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_4937,182MB,6633939,680511,10.26%,194300,6439639,97.07%,17.54KB/s,72.92KB/s,0.0~49.0GB,,0.2GB,,0.0~49.02GB,4.206GB,,None,None,0.549835,-0.113213,,,,,,0.619524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_4940,173MB,6368856,222135,3.49%,1175606,5193250,81.54%,101.06KB/s,195.7KB/s,0.0~18.87GB,,0.752GB,,0.0~26.0GB,3.958GB,,0.171674,-0.298533,-0.60207,0.40765,,,,,,0.565212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_4941,14MB,532191,60724,11.41%,25804,506387,95.15%,2.16KB/s,45.75KB/s,0.0~26.0GB,,0.018GB,,0.0~26.0GB,0.459GB,,None,0.940501,0.489384,0.941513,,,,,,0.473691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_4949,20MB,758376,150594,19.86%,414,757962,99.95%,0.01KB/s,9.54KB/s,0.0~39.37GB,,0.001GB,,0.0~44.03GB,0.592GB,,None,None,0.738764,0.324063,,,,,,0.271816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_4956,83MB,3060047,151114,4.94%,119900,2940147,96.08%,5.62KB/s,82.28KB/s,0.0~26.0GB,,0.742GB,,0.0~26.0GB,1.398GB,,0.677184,0.918192,-0.04638,0.671669,,,,,,0.397899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_4964,34MB,1266130,83828,6.62%,4162,1261968,99.67%,0.2KB/s,11.66KB/s,0.08~26.0GB,,0.094GB,,0.0~26.0GB,0.41GB,,None,0.93674,0.006627,0.054992,,,,,,0.272292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_4965,99MB,3496689,734694,21.01%,72998,3423691,97.91%,3.59KB/s,200.74KB/s,0.0~92.47GB,,1.09GB,,0.0~92.47GB,8.853GB,,None,0.926356,-0.080396,0.769293,,,,,,0.430635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_4971,4MB,166592,16883,10.13%,1847,164745,98.89%,0.62KB/s,1.9KB/s,0.06~9.05GB,,0.36GB,,0.0~9.3GB,0.474GB,,None,None,None,-0.932979,,,,,,0.01799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_4980,148MB,5361490,283340,5.28%,286928,5074562,94.65%,26.36KB/s,94.11KB/s,0.0~50.02GB,,0.803GB,,0.0~50.04GB,1.8GB,,None,None,-0.906908,-0.409249,,,,,,0.273466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_4986,76MB,2845042,177231,6.23%,248239,2596803,91.27%,11.32KB/s,133.7KB/s,0.0~4.74GB,,1.5GB,,0.0~4.74GB,1.915GB,,None,0.417339,-0.248385,0.239034,,,,,,0.437127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_4994,13MB,503382,47313,9.40%,9,503373,100.00%,0.0KB/s,3.55KB/s,2.78~26.91GB,,0.0GB,,0.0~27.07GB,0.238GB,,None,None,None,0.659911,,,,,,0.089246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_4998,66MB,2484411,66368,2.67%,5325,2479086,99.79%,0.34KB/s,79.36KB/s,0.0~2.47GB,,0.154GB,,0.0~2.49GB,1.017GB,,None,0.388601,-0.060364,0.392776,,,,,,0.425373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_5002,1.3GB,48375822,2320994,4.80%,11922162,36453660,75.36%,250.32KB/s,1913.48KB/s,0.0~52.0GB,,7.203GB,,0.0~42.03GB,8.06GB,,0.517225,0.110184,0.484708,0.824831,,,,,,0.626146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_5009,48MB,1832121,90281,4.93%,6472,1825649,99.65%,0.63KB/s,46.86KB/s,0.0~2.01GB,,0.19GB,,0.0~2.01GB,0.81GB,,None,0.871016,-0.113626,0.61515,,,,,,0.546128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_5018,74MB,2729959,417181,15.28%,622835,2107124,77.19%,23.4KB/s,79.39KB/s,0.0~43.86GB,,4.864GB,,0.0~43.86GB,4.564GB,,0.972836,0.765602,0.203315,0.443545,,,,,,0.370111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_5020,79MB,2962237,341465,11.53%,461481,2500756,84.42%,18.53KB/s,30.81KB/s,0.0~90.09GB,,0.181GB,,0.0~90.25GB,2.635GB,,None,None,-0.76374,-0.075955,,,,,,0.492925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_5029,38MB,1419650,78612,5.54%,17399,1402251,98.77%,1.39KB/s,106.12KB/s,0.0~25.97GB,,0.159GB,,0.0~26.0GB,0.576GB,,None,0.972113,0.169268,0.865952,,,,,,0.378399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_5034,209MB,7526941,168696,2.24%,5067843,2459098,32.67%,259.15KB/s,52.64KB/s,0.0~48.21GB,,1.415GB,,0.0~48.21GB,0.878GB,,-0.187204,0.906533,-0.787481,0.445333,,,,,,0.503854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_5039,96MB,3497849,472834,13.52%,317309,3180540,90.93%,22.59KB/s,37.96KB/s,0.0~51.98GB,,1.639GB,,0.0~51.98GB,2.126GB,,None,None,-0.210685,-0.017324,,,,,,0.547735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_5046,651MB,22714217,3964548,17.45%,174295,22539922,99.23%,33.17KB/s,1274.08KB/s,0.0~177.44GB,,19.131GB,,0.0~182.09GB,63.931GB,,None,-0.03022,None,-0.02982,,,,,,0.318971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_5047,179MB,6562743,465402,7.09%,946604,5616139,85.58%,38.68KB/s,167.92KB/s,0.0~52.0GB,,3.043GB,,0.0~51.83GB,3.999GB,,0.304867,0.335609,-0.709053,0.434139,,,,,,0.487063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_5048,1.46GB,53886786,2586083,4.80%,1442414,52444372,97.32%,90.11KB/s,735.98KB/s,0.0~58.91GB,,9.606GB,,0.0~58.92GB,25.308GB,,0.090355,0.236918,-0.257336,-0.218564,,,,,,0.402865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_5054,104MB,3775410,309272,8.19%,1375684,2399726,63.56%,52.77KB/s,70.49KB/s,0.0~52.0GB,,2.596GB,,0.0~17.6GB,3.407GB,,0.252039,0.646931,0.419742,-0.193297,,,,,,0.591203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_5060,53MB,1980340,82568,4.17%,54857,1925483,97.23%,0.48KB/s,286.37KB/s,0.0~26.0GB,,0.106GB,,0.0~26.0GB,0.471GB,,None,0.83695,0.054678,0.795538,,,,,,0.394297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_5061,40MB,1398156,347840,24.88%,182,1397974,99.99%,0.0KB/s,27.94KB/s,0.01~238.19GB,,0.001GB,,0.0~238.24GB,3.148GB,,None,None,0.144869,-0.243515,,,,,,0.686914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_5066,234MB,8320632,1203094,14.46%,308950,8011682,96.29%,23.92KB/s,104.19KB/s,0.0~101.5GB,,0.661GB,,0.0~101.53GB,6.615GB,,0.303197,-0.008958,0.373363,-0.228726,,,,,,0.433128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_5071,109MB,4013038,537023,13.38%,707833,3305205,82.36%,39.8KB/s,146.23KB/s,0.0~64.5GB,,2.548GB,,0.0~64.5GB,4.187GB,,0.221654,0.86857,-0.727464,0.571313,,,,,,0.510991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_5075,65MB,2424902,221267,9.12%,120075,2304827,95.05%,5.09KB/s,31.64KB/s,0.0~37.73GB,,0.886GB,,0.0~37.73GB,5.734GB,,None,0.215484,-0.112682,-0.678398,,,,,,0.423792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_5080,144MB,5191365,386794,7.45%,3171358,2020007,38.91%,92.93KB/s,54.59KB/s,0.0~29.42GB,,1.991GB,,0.0~29.42GB,2.118GB,,None,0.22455,-0.596028,-0.432762,,,,,,0.454349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_5083,45MB,1650780,180222,10.92%,38415,1612365,97.67%,2.94KB/s,22.51KB/s,0.0~14.56GB,,1.241GB,,0.0~14.8GB,1.084GB,,0.270852,None,-0.229585,-0.052977,,,,,,0.55067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_5085,141MB,5234845,227252,4.34%,323780,4911065,93.81%,7.43KB/s,133.99KB/s,0.0~18.9GB,,0.843GB,,0.0~26.0GB,3.921GB,,0.218439,0.008387,-0.026118,0.509078,,,,,,0.467456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_5094,39MB,1526867,29846,1.95%,454803,1072064,70.21%,17.88KB/s,22.9KB/s,0.0~52.0GB,,0.149GB,,0.0~2.91GB,0.343GB,,None,0.764807,-0.760561,0.341118,,,,,,0.367537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_5099,508MB,18510994,193075,1.04%,16601358,1909636,10.32%,742.61KB/s,32.85KB/s,0.0~26.0GB,,0.869GB,,0.0~26.0GB,0.843GB,,0.064951,-0.389785,-0.264349,-0.823502,,,,,,0.426788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_5106,55MB,1993146,80784,4.05%,7663,1985483,99.62%,0.66KB/s,42.59KB/s,0.02~26.14GB,,0.232GB,,0.0~26.14GB,0.695GB,,None,0.831559,0.002497,-0.647384,,,,,,0.272803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_5110,32MB,1147591,263396,22.95%,350,1147241,99.97%,0.0KB/s,22.36KB/s,44.0~244.0GB,,0.001GB,,0.0~245.87GB,2.239GB,,None,None,0.245953,-0.410247,,,,,,0.653187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_5115,124MB,4487038,192616,4.29%,686134,3800904,84.71%,23.84KB/s,17.32KB/s,0.05~85.86GB,,0.715GB,,0.0~85.86GB,1.159GB,,0.577183,0.786802,0.133109,0.091033,,,,,,0.270154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_5116,93MB,3387488,424913,12.54%,999789,2387699,70.49%,29.12KB/s,32.51KB/s,0.0~48.18GB,,1.626GB,,0.0~48.24GB,2.09GB,,None,0.719775,-0.283208,-0.491791,,,,,,0.552066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_5117,0MB,12469,5288,42.41%,87,12382,99.30%,0.01KB/s,0.16KB/s,0.0~47.55GB,,0.003GB,,0.0~51.89GB,0.056GB,,None,None,None,None,,,,,,0.363702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_5118,10MB,408448,11956,2.93%,330903,77545,18.99%,4.87KB/s,0.56KB/s,0.0~52.0GB,,0.006GB,,0.0~3.5GB,0.065GB,,None,None,0.921689,0.272539,,,,,,0.131836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_5127,11MB,415781,95284,22.92%,18424,397357,95.57%,1.68KB/s,4.71KB/s,0.07~38.43GB,,0.064GB,,0.0~38.43GB,0.535GB,,None,None,-0.010639,-0.343548,,,,,,0.569694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_5130,430MB,15315468,408466,2.67%,12234729,3080739,20.12%,755.76KB/s,36.97KB/s,0.0~51.98GB,,1.064GB,,0.0~51.98GB,1.868GB,,0.67415,0.209675,0.546408,-0.072021,,,,,,0.557156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_5139,34MB,1247446,54880,4.40%,30983,1216463,97.52%,0.44KB/s,168.37KB/s,0.0~2.83GB,,0.108GB,,0.0~2.83GB,0.376GB,,None,0.834421,0.009272,0.745962,,,,,,0.4257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_5140,105MB,3964266,72399,1.83%,4667,3959599,99.88%,0.63KB/s,38.14KB/s,0.0~3.41GB,,0.154GB,,0.0~3.42GB,0.557GB,,0.13078,None,-0.068545,0.118905,,,,,,0.342302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_5147,103MB,3754622,479293,12.77%,1204244,2550378,67.93%,48.88KB/s,53.23KB/s,0.0~14.12GB,,0.967GB,,0.0~14.14GB,3.371GB,,0.220158,-0.264423,0.397703,-0.242419,,,,,,0.374803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_5150,28MB,1054873,184343,17.48%,5503,1049370,99.48%,0.18KB/s,12.72KB/s,0.0~51.99GB,,0.022GB,,0.0~52.0GB,0.754GB,,None,None,0.505738,0.790969,,,,,,0.3349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_5155,29MB,1070654,143012,13.36%,11144,1059510,98.96%,0.21KB/s,13.67KB/s,0.05~23.69GB,,0.062GB,,0.0~26.0GB,0.68GB,,None,None,0.599042,-0.876116,,,,,,0.317172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_5162,54MB,1983438,514584,25.94%,585624,1397814,70.47%,26.73KB/s,44.81KB/s,0.0~18.0GB,,6.126GB,,0.0~18.0GB,4.151GB,,0.690767,0.750119,0.155406,-0.001737,,,,,,0.331922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_5170,66MB,2438254,138182,5.67%,5376,2432878,99.78%,0.17KB/s,48.51KB/s,2.39~13.18GB,,0.1GB,,0.0~13.19GB,2.153GB,,None,0.995093,0.994253,0.046689,,,,,,0.409386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_5172,22MB,841684,128722,15.29%,32338,809346,96.16%,0.92KB/s,9.76KB/s,0.0~25.98GB,,0.094GB,,0.0~26.0GB,0.584GB,,None,None,0.116951,-0.852569,,,,,,0.233881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_5178,208MB,7073819,3792963,53.62%,5094328,1979491,27.98%,440.7KB/s,273.72KB/s,0.0~499.45GB,,65.779GB,,0.0~500.0GB,50.976GB,,0.901642,0.233009,0.050629,-0.846021,,,,,,0.405631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_5182,48MB,1777690,186204,10.47%,61844,1715846,96.52%,1.18KB/s,18.39KB/s,0.0~42.6GB,,0.163GB,,0.0~42.6GB,0.73GB,,None,None,-0.104866,-0.125118,,,,,,0.50514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_5191,51MB,1911084,112331,5.88%,8340,1902744,99.56%,0.25KB/s,16.39KB/s,0.0~26.0GB,,0.127GB,,0.0~26.0GB,0.475GB,,None,None,0.037658,-0.493862,,,,,,0.389103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_5200,79MB,2866662,400218,13.96%,93079,2773583,96.75%,8.65KB/s,41.71KB/s,0.02~51.99GB,,0.185GB,,0.0~51.99GB,1.809GB,,None,None,0.418683,0.84918,,,,,,0.266562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_5206,273MB,9897162,1654001,16.71%,2493701,7403461,74.80%,118.32KB/s,184.5KB/s,0.0~100.7GB,,10.074GB,,0.0~103.0GB,7.001GB,,0.066971,0.493491,-0.866958,0.856897,,,,,,0.614773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_5213,109MB,4064869,184129,4.53%,66233,3998636,98.37%,5.3KB/s,147.01KB/s,0.0~10.85GB,,0.42GB,,0.0~10.85GB,1.849GB,,None,0.747504,0.547094,0.610881,,,,,,0.563787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_5214,57MB,2132660,146595,6.87%,138162,1994498,93.52%,5.03KB/s,61.1KB/s,0.0~7.63GB,,0.98GB,,0.0~7.63GB,1.536GB,,0.406753,0.796233,-0.176919,0.246144,,,,,,0.42089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_5221,66MB,2420569,219797,9.08%,396464,2024105,83.62%,16.66KB/s,99.15KB/s,0.0~38.8GB,,1.767GB,,0.0~38.8GB,2.605GB,,0.411525,0.443005,0.383405,0.62755,,,,,,0.463639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_5229,226MB,8373184,751334,8.97%,1523376,6849808,81.81%,13.44KB/s,148.81KB/s,0.0~6.12GB,,1.587GB,,0.0~6.12GB,2.472GB,,None,0.388402,0.096146,0.712446,,,,,,0.498056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_5238,84MB,3082390,213870,6.94%,742,3081648,99.98%,0.01KB/s,31.26KB/s,0.0~28.88GB,,0.008GB,,0.0~28.88GB,0.822GB,,None,None,None,-0.002994,,,,,,0.20003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_5242,1.2GB,44761125,1829855,4.09%,12753685,32007440,71.51%,207.68KB/s,1808.76KB/s,0.0~52.0GB,,5.001GB,,0.0~11.85GB,5.223GB,,0.364781,-0.119454,0.760706,0.772384,,,,,,0.619829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_5250,84MB,3085124,313580,10.16%,3234,3081890,99.90%,0.22KB/s,37.99KB/s,0.0~25.91GB,,0.049GB,,0.0~27.06GB,2.29GB,,None,None,-0.265916,-0.09427,,,,,,0.522358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
