标识,文件大小,总数,独一无二数,分散度,读数,写数,写占比,平均读带宽,平均写带宽,读空间范围,小读空间范围,读空间大小,小读空间大小,写空间范围,写空间大小,Pea_RB_WB(h),Pea_RB_R(暂时出错),Pea_WB_W(暂时出错),Pea_RB_R,Pea_WB_W,R_4/16/64/256/1024/max%,W_4/16/64/256/1024/max%,R_RAR_s,R_RAR_b,,随机率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_1161,70MB,2512388,81070,3.23%,31644,2480744,98.74%,1.67KB/s,308.87KB/s,0.01~17.37GB,,0.222GB,,0.0~26.0GB,0.507GB,,None,0.930655,0.286554,0.921265,,,,,,0.509061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_1162,69MB,2368304,1913831,80.81%,1184152,1184152,50.00%,125.31KB/s,125.31KB/s,0.0~47.03GB,,35.369GB,,0.0~47.03GB,35.372GB,,None,None,0.268826,0.208308,,,,,,0.49723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_1163,2.42GB,88787344,948946,1.07%,424505,88362839,99.52%,13.56KB/s,3028.8KB/s,0.0~103.0GB,,5.115GB,,0.0~24.61GB,13.976GB,,None,0.650338,-0.365008,0.443143,,,,,,0.508405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_1164,2.02GB,70270733,7094010,10.10%,26894787,43375946,61.73%,978.87KB/s,3597.57KB/s,0.0~991.89GB,,14.481GB,,0.0~991.88GB,134.381GB,,-0.374585,-0.112338,0.856539,0.142262,,,,,,0.459227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_1170,91MB,3404186,197220,5.79%,45334,3358852,98.67%,1.98KB/s,82.54KB/s,0.0~12.39GB,,0.592GB,,0.0~12.41GB,3.546GB,,0.062186,0.354544,0.020594,0.383437,,,,,,0.426248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_1175,41MB,1563744,87758,5.61%,69375,1494369,95.56%,6.17KB/s,12.31KB/s,0.0~26.0GB,,0.129GB,,0.0~26.0GB,0.388GB,,0.932208,0.946574,-0.378103,-0.217876,,,,,,0.255291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_1182,340MB,12019077,856554,7.13%,1426811,10592266,88.13%,258.88KB/s,974.03KB/s,0.0~52.0GB,,11.308GB,,0.0~52.0GB,21.047GB,,0.683141,0.609239,-0.423496,0.613427,,,,,,0.654813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_1191,317MB,11264741,107257,0.95%,9392116,1872625,16.62%,228.83KB/s,17.46KB/s,0.0~25.98GB,,0.243GB,,0.0~26.0GB,0.473GB,,None,0.198788,0.327795,-0.692394,,,,,,0.114982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_1194,2.53GB,92329014,392238,0.42%,249390,92079624,99.73%,24.77KB/s,1162.82KB/s,0.0~51.22GB,,0.046GB,,0.0~51.22GB,2.041GB,,None,-0.069553,0.406588,0.987783,,,,,,0.046936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_1199,169MB,6145912,69484,1.13%,4484551,1661361,27.03%,245.09KB/s,40.89KB/s,0.0~5.79GB,,0.817GB,,0.0~5.79GB,0.276GB,,None,0.732243,0.191251,0.417862,,,,,,0.429369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_1201,381MB,13647766,358435,2.63%,649192,12998574,95.24%,40.51KB/s,254.04KB/s,0.0~26.0GB,,1.108GB,,0.0~26.0GB,2.021GB,,None,0.318015,-0.449625,0.925658,,,,,,0.65324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_1205,1.42GB,48545182,7817900,16.10%,928887,47616295,98.09%,62.09KB/s,11910.63KB/s,0.0~999.99GB,,14.473GB,,0.0~999.96GB,368.114GB,,0.128787,0.831405,-0.079645,0.756486,,,,,,0.657445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_1214,776MB,25548954,4037412,15.80%,397237,25151717,98.45%,20.2KB/s,6165.66KB/s,9.63~977.4GB,,7.026GB,,0.0~977.38GB,208.219GB,,None,-0.42053,-0.124714,0.137078,,,,,,0.562322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_1219,39MB,1466592,93018,6.34%,17925,1448667,98.78%,0.8KB/s,26.24KB/s,0.05~25.96GB,,0.318GB,,0.0~26.0GB,0.694GB,,None,0.34834,-0.190661,-0.892989,,,,,,0.280053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_1223,134MB,4853515,659573,13.59%,1950259,2903256,59.82%,49.75KB/s,36.98KB/s,0.0~51.98GB,,4.447GB,,0.0~51.99GB,2.488GB,,0.959758,-0.065141,0.681448,-0.24377,,,,,,0.457386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_1228,60MB,2236797,73499,3.29%,52412,2184385,97.66%,1.69KB/s,29.15KB/s,0.0~8.32GB,,0.399GB,,0.0~8.33GB,0.731GB,,None,-0.209332,-0.130217,-0.968648,,,,,,0.273367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_1236,53MB,1973100,130241,6.60%,227760,1745340,88.46%,9.78KB/s,94.07KB/s,0.0~26.0GB,,0.852GB,,0.0~26.0GB,1.662GB,,None,0.777674,-0.595786,0.515876,,,,,,0.39938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_1243,1.68GB,65296287,57839,0.09%,4748,65291539,99.99%,0.3KB/s,670.73KB/s,0.01~3.72GB,,0.153GB,,0.0~3.73GB,0.574GB,,None,0.623459,-0.019287,0.679751,,,,,,0.160352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_1252,874MB,29574211,662276,2.24%,216074,29358137,99.27%,11.97KB/s,14132.8KB/s,0.0~26.0GB,,0.171GB,,0.0~26.0GB,2.781GB,,None,0.086583,-0.851221,0.837306,,,,,,0.802894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_1261,913MB,30866769,557115,1.80%,172773,30693996,99.44%,8.59KB/s,14754.4KB/s,0.0~26.0GB,,0.168GB,,0.0~26.0GB,2.65GB,,None,0.036274,-0.788227,0.681231,,,,,,0.785891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_1268,193MB,7058197,487349,6.90%,2091,7056106,99.97%,0.06KB/s,141.65KB/s,0.0~49.39GB,,0.011GB,,0.0~49.46GB,1.878GB,,None,None,-0.018866,0.276697,,,,,,0.112624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_1273,470MB,16043141,1985324,12.37%,215242,15827899,98.66%,12.98KB/s,2772.83KB/s,5.13~981.58GB,,1.414GB,,0.0~967.99GB,127.589GB,,None,-0.49851,-0.037498,0.256687,,,,,,0.493441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_1282,14.03GB,505778180,706131,0.14%,424403992,81374188,16.09%,22029.44KB/s,1236.47KB/s,0.0~25.31GB,,3.34GB,,0.0~26.0GB,2.523GB,,0.559155,0.653853,0.886431,0.745368,,,,,,0.897577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_1286,41MB,1550295,182741,11.79%,56085,1494210,96.38%,2.52KB/s,22.49KB/s,0.0~25.98GB,,0.321GB,,0.0~26.0GB,0.769GB,,None,None,0.172714,-0.678562,,,,,,0.253622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VM_1293,470MB,15730142,3542380,22.52%,5736335,9993807,63.53%,221.77KB/s,596.25KB/s,214.82~1112.13GB,,76.0GB,,0.0~1112.19GB,28.738GB,,0.378691,-0.630138,0.644129,-0.74593,,,,,,0.800832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
