标识,文件大小,总数,独一无二数,分散度,读数,写数,写占比,平均读带宽,平均写带宽,读空间范围,读空间大小,平均读IO大小,写空间范围,写空间大小,平均写IO大小,Pea_RB_WB(h),Pea_RB_R,Pea_WB_W,R_4/16/64/256/1024/max%,W_4/16/64/256/1024/max%,R_RAR_s,R_RAR_b,,随机率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsrch_2,10MB,207587,152331,73.38%,136364,71223,34.31%,0.93KB/s,0.52KB/s,3.37~81.38GB,0.52GB,,0.21~81.65GB,0.074GB,,,None,0.910218,,,,,,0.267199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
src1_0,1.93GB,37415613,5659341,15.13%,21112615,16302998,43.57%,1266.4KB/s,1405.3KB/s,0.0~273.46GB,119.961GB,,0.0~273.46GB,114.057GB,,,-0.0355,-0.262888,,,,,,0.217953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
src1_1,2.36GB,45746222,6170590,13.49%,43575951,2170271,4.74%,2575.81KB/s,52.62KB/s,0.0~273.46GB,116.694GB,,0.13~273.46GB,4.166GB,,,0.911671,-0.12315,,,,,,0.217656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
src1_2,96MB,1907773,156255,8.19%,484079,1423694,74.63%,15.29KB/s,76.54KB/s,0.0~8.0GB,1.556GB,,0.0~8.0GB,0.654GB,,,-0.08526,0.358886,,,,,,0.340607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
src2_0,78MB,1557814,82833,5.32%,176729,1381085,88.66%,2.05KB/s,14.01KB/s,0.0~15.63GB,0.394GB,,0.01~15.63GB,0.492GB,,,0.326846,-0.488476,,,,,,0.328923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
src2_1,33MB,657774,330263,50.21%,643670,14104,2.14%,56.49KB/s,0.27KB/s,0.0~169.58GB,19.143GB,,0.0~169.58GB,0.062GB,,,0.63355,0.411391,,,,,,0.260393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
src2_2,60MB,1156885,859069,74.26%,350930,805955,69.67%,37.71KB/s,65.01KB/s,0.0~169.58GB,20.167GB,,0.0~169.58GB,19.97GB,,,0.028646,-0.031633,,,,,,0.353414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stg_0,100MB,2030915,231085,11.38%,308437,1722478,84.81%,12.71KB/s,26.16KB/s,0.0~10.79GB,6.084GB,,0.0~10.82GB,0.392GB,,,-0.019908,-0.460138,,,,,,0.372246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stg_1,110MB,2196861,1432044,65.19%,1400409,796452,36.25%,137.89KB/s,10.38KB/s,0.0~101.74GB,79.421GB,,0.0~97.65GB,0.396GB,,,-0.032182,-0.622241,,,,,,0.309078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ts_0,88MB,1801734,95988,5.33%,316692,1485042,82.42%,6.2KB/s,17.01KB/s,0.04~21.97GB,0.494GB,,0.04~21.97GB,0.536GB,,,0.709608,-0.573595,,,,,,0.354002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
usr_0,112MB,2237889,156226,6.98%,904483,1333406,59.58%,61.2KB/s,22.67KB/s,0.0~15.9GB,2.089GB,,0.0~15.89GB,0.646GB,,,0.763633,-0.278306,,,,,,0.306169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
